00:00:00,HoloLens
00:02:45,tablet B
00:02:50,tablet B
00:02:55,tablet B
00:03:00,tablet B
00:03:05,tablet B
00:03:10,tablet B
00:03:15,tablet B
00:03:20,tablet B
00:03:25,tablet B
00:03:30,tablet B
00:03:35,tablet B
00:05:05,tablet B
00:05:10,tablet B
00:05:15,tablet B
00:05:20,tablet B
00:05:25,tablet B
00:07:35,tablet B
00:07:40,tablet B
00:07:45,tablet B
00:08:10,tablet B
00:09:55,tablet B
00:10:00,tablet B
00:10:05,tablet B
00:10:10,tablet B
00:10:15,tablet B
00:10:20,tablet B
00:14:15,tablet B
00:14:20,tablet B
00:14:25,tablet B
00:14:30,tablet B
00:14:55,tablet B
00:15:00,tablet B
00:15:05,tablet B
00:15:10,tablet B
00:18:10,tablet B
00:18:15,tablet B
00:18:20,tablet B
00:18:40,tablet B
00:18:50,tablet B
00:18:55,tablet B
00:19:00,tablet B
00:01:45,tablet A
00:01:50,tablet A
00:02:45,tablet A
00:02:50,tablet A
00:02:55,tablet A
00:03:00,tablet A
00:03:05,tablet A
00:03:10,tablet A
00:03:15,tablet A
00:03:20,tablet A
00:03:25,tablet A
00:03:30,tablet A
00:03:35,tablet A
00:03:40,tablet A
00:05:05,tablet A
00:05:10,tablet A
00:05:15,tablet A
00:05:20,tablet A
00:05:25,tablet A
00:05:30,tablet A
00:05:35,tablet A
00:05:40,tablet A
00:06:45,tablet A
00:06:50,tablet A
00:07:35,tablet A
00:07:40,tablet A
00:07:45,tablet A
00:08:10,tablet A
00:08:15,tablet A
00:08:20,tablet A
00:08:25,tablet A
00:08:30,tablet A
00:08:35,tablet A
00:14:55,tablet A
00:15:00,tablet A
00:15:05,tablet A
00:15:10,tablet A
00:00:25,Laptop
00:00:30,Laptop
00:00:35,Laptop
00:00:40,Laptop
00:00:45,Laptop
00:00:50,Laptop
00:00:55,Laptop
00:01:00,Laptop
00:01:05,Laptop
00:01:10,Laptop
00:01:15,Laptop
00:01:20,Laptop
00:01:25,Laptop
00:01:30,Laptop
00:01:35,Laptop
00:02:00,Laptop
00:02:05,Laptop
00:02:10,Laptop
00:02:15,Laptop
00:02:20,Laptop
00:02:25,Laptop
00:02:30,Laptop
00:09:00,Laptop
00:09:05,Laptop
00:09:25,Laptop
00:09:30,Laptop
00:13:35,Laptop
00:13:40,Laptop
00:13:45,Laptop
00:13:50,Laptop
00:13:55,Laptop
00:14:00,Laptop
00:14:15,Laptop
00:14:20,Laptop
00:17:50,Laptop
00:17:55,Laptop
00:18:00,Laptop
00:18:10,Laptop
00:18:15,Laptop
00:18:20,Laptop
00:03:45,Large display
00:03:50,Large display
00:03:55,Large display
00:04:00,Large display
00:04:05,Large display
00:04:10,Large display
00:04:15,Large display
00:04:20,Large display
00:04:25,Large display
00:04:30,Large display
00:04:35,Large display
00:04:40,Large display
00:04:45,Large display
00:04:50,Large display
00:04:55,Large display
00:05:00,Large display
00:05:30,Large display
00:05:35,Large display
00:05:40,Large display
00:06:55,Large display
00:07:00,Large display
00:07:05,Large display
00:09:10,Large display
00:09:15,Large display
00:09:20,Large display
00:09:35,Large display
00:09:40,Large display
00:09:45,Large display
00:09:50,Large display
00:10:25,Large display
00:10:30,Large display
00:10:35,Large display
00:10:40,Large display
00:10:45,Large display
00:10:50,Large display
00:10:55,Large display
00:11:50,Large display
00:11:55,Large display
00:12:00,Large display
00:12:05,Large display
00:12:10,Large display
00:12:15,Large display
00:12:20,Large display
00:12:25,Large display
00:12:30,Large display
00:12:35,Large display
00:12:40,Large display
00:12:45,Large display
00:12:50,Large display
00:12:55,Large display
00:13:00,Large display
00:13:05,Large display
00:13:10,Large display
00:13:15,Large display
00:13:20,Large display
00:13:25,Large display
00:13:30,Large display
00:14:05,Large display
00:14:25,Large display
00:14:30,Large display
00:15:15,Large display
00:15:20,Large display
00:15:25,Large display
00:15:30,Large display
00:15:35,Large display
00:15:40,Large display
00:15:45,Large display
00:15:50,Large display
00:15:55,Large display
00:16:00,Large display
00:16:05,Large display
00:16:10,Large display
00:16:15,Large display
00:16:20,Large display
00:16:25,Large display
00:16:30,Large display
00:17:15,Large display
00:17:20,Large display
00:17:25,Large display
00:17:30,Large display
00:17:35,Large display
00:17:40,Large display
00:19:05,Large display
00:19:10,Large display
00:19:15,Large display
00:19:20,Large display
00:19:25,Large display
00:19:30,Large display
00:19:55,Large display
